Name,ALGAE,SUBSTRATE,INVERTEBRATES
AR_PM_PC_HT_20181105_Q01,34,66,0
AR_PM_PC_HT_20181105_Q02,53,46,1
AR_PM_PC_HT_20181105_Q03,56,44,0
AR_PM_PC_HT_20181105_Q04,69,31,0
AR_PM_PC_HT_20181105_Q05,67,33,0
AR_PM_PC_HT_20181105_Q06,48,45,7
AR_PM_PC_HT_20181105_Q07,44,42,14
AR_PM_PC_HT_20181105_Q08,60,36,4
AR_PM_PC_HT_20181105_Q09,60,40,0
AR_PM_PC_HT_20181105_Q10,63,35,2
AR_PM_PC_LT_20181105_Q01,64,34,2
AR_PM_PC_LT_20181105_Q02,43,37,20
AR_PM_PC_LT_20181105_Q03,72,27,1
AR_PM_PC_LT_20181105_Q04,69,23,8
AR_PM_PC_LT_20181105_Q05,75,18,7
AR_PM_PC_LT_20181105_Q06,58,34,8
AR_PM_PC_LT_20181105_Q07,49,42,9
AR_PM_PC_LT_20181105_Q08,54,46,0
AR_PM_PC_LT_20181105_Q09,78,20,2
AR_PM_PC_LT_20181105_Q10,62,35,3
AR_PM_PC_MT_20181105_Q01,5,3,92
AR_PM_PC_MT_20181105_Q02,4,4,92
AR_PM_PC_MT_20181105_Q03,7,8,85
AR_PM_PC_MT_20181105_Q04,6,7,87
AR_PM_PC_MT_20181105_Q05,11,11,78
AR_PM_PC_MT_20181105_Q06,4,5,91
AR_PM_PC_MT_20181105_Q07,3,5,92
AR_PM_PC_MT_20181105_Q08,1,3,96
AR_PM_PC_MT_20181105_Q09,2,17,81
AR_PM_PC_MT_20181105_Q10,4,0,96
AR_PM_PE_HT_20181025_Q01,54,41,5
AR_PM_PE_HT_20181025_Q02,12,76,12
AR_PM_PE_HT_20181025_Q03,10,87,3
AR_PM_PE_HT_20181025_Q04,9,86,5
AR_PM_PE_HT_20181025_Q05,29,68,3
AR_PM_PE_HT_20181025_Q06,7,86,7
AR_PM_PE_HT_20181025_Q07,3,90,7
AR_PM_PE_HT_20181025_Q08,55,44,1
AR_PM_PE_HT_20181025_Q09,29,60,11
AR_PM_PE_HT_20181025_Q10,31,69,0
AR_PM_PE_LT_20181025_Q01,97,3,0
AR_PM_PE_LT_20181025_Q02,98,2,0
AR_PM_PE_LT_20181025_Q03,99,1,0
AR_PM_PE_LT_20181025_Q04,95,5,0
AR_PM_PE_LT_20181025_Q05,98,2,0
AR_PM_PE_LT_20181025_Q06,99,1,0
AR_PM_PE_LT_20181025_Q07,96,2,2
AR_PM_PE_LT_20181025_Q08,99,1,0
AR_PM_PE_LT_20181025_Q09,99,1,0
AR_PM_PE_LT_20181025_Q10,97,3,0
AR_PM_PE_MT_20181025_Q01,4,4,92
AR_PM_PE_MT_20181025_Q02,9,1,90
AR_PM_PE_MT_20181025_Q03,1,2,97
AR_PM_PE_MT_20181025_Q04,6,4,90
AR_PM_PE_MT_20181025_Q05,12,4,84
AR_PM_PE_MT_20181025_Q06,16,1,83
AR_PM_PE_MT_20181025_Q07,6,1,93
AR_PM_PE_MT_20181025_Q08,8,9,83
AR_PM_PE_MT_20181025_Q09,3,1,96
