Name,ALGAE,SUBSTRATE,INVERTEBRATES
AR_PM_PC_HT_20181105_Q01,13,86,1
AR_PM_PC_HT_20181105_Q02,73,23,4
AR_PM_PC_HT_20181105_Q03,68,32,0
AR_PM_PC_HT_20181105_Q04,82,18,0
AR_PM_PC_HT_20181105_Q05,86,14,0
AR_PM_PC_HT_20181105_Q06,62,28,10
AR_PM_PC_HT_20181105_Q07,30,55,15
AR_PM_PC_HT_20181105_Q08,19,81,0
AR_PM_PC_HT_20181105_Q09,18,82,0
AR_PM_PC_HT_20181105_Q10,22,78,0
AR_PM_PC_LT_20181105_Q01,68,30,2
AR_PM_PC_LT_20181105_Q02,21,71,8
AR_PM_PC_LT_20181105_Q03,38,62,0
AR_PM_PC_LT_20181105_Q04,23,59,18
AR_PM_PC_LT_20181105_Q05,39,54,7
AR_PM_PC_LT_20181105_Q06,33,62,5
AR_PM_PC_LT_20181105_Q07,39,57,4
AR_PM_PC_LT_20181105_Q08,37,63,0
AR_PM_PC_LT_20181105_Q09,50,48,2
AR_PM_PC_LT_20181105_Q10,34,58,8
AR_PM_PC_MT_20181105_Q01,5,2,93
AR_PM_PC_MT_20181105_Q02,5,1,94
AR_PM_PC_MT_20181105_Q03,8,5,87
AR_PM_PC_MT_20181105_Q04,7,3,90
AR_PM_PC_MT_20181105_Q05,9,5,86
AR_PM_PC_MT_20181105_Q06,7,2,91
AR_PM_PC_MT_20181105_Q07,2,2,96
AR_PM_PC_MT_20181105_Q08,0,1,99
AR_PM_PC_MT_20181105_Q09,4,6,90
AR_PM_PC_MT_20181105_Q10,5,1,94
AR_PM_PE_HT_20181025_Q01,6,92,2
AR_PM_PE_HT_20181025_Q02,4,84,12
AR_PM_PE_HT_20181025_Q03,7,89,4
AR_PM_PE_HT_20181025_Q04,4,93,3
AR_PM_PE_HT_20181025_Q05,11,85,4
AR_PM_PE_HT_20181025_Q06,5,86,9
AR_PM_PE_HT_20181025_Q07,4,93,3
AR_PM_PE_HT_20181025_Q08,36,63,1
AR_PM_PE_HT_20181025_Q09,28,61,11
AR_PM_PE_HT_20181025_Q10,21,78,1
AR_PM_PE_LT_20181025_Q01,91,6,3
AR_PM_PE_LT_20181025_Q02,96,1,3
AR_PM_PE_LT_20181025_Q03,98,1,1
AR_PM_PE_LT_20181025_Q04,96,3,1
AR_PM_PE_LT_20181025_Q05,95,2,3
AR_PM_PE_LT_20181025_Q06,94,5,1
AR_PM_PE_LT_20181025_Q07,94,2,4
AR_PM_PE_LT_20181025_Q08,95,3,2
AR_PM_PE_LT_20181025_Q09,96,1,3
AR_PM_PE_LT_20181025_Q10,92,4,4
AR_PM_PE_MT_20181025_Q01,3,2,95
AR_PM_PE_MT_20181025_Q02,6,2,92
AR_PM_PE_MT_20181025_Q03,1,2,97
AR_PM_PE_MT_20181025_Q04,7,2,91
AR_PM_PE_MT_20181025_Q05,9,2,89
AR_PM_PE_MT_20181025_Q06,10,3,87
AR_PM_PE_MT_20181025_Q07,5,2,93
AR_PM_PE_MT_20181025_Q08,8,4,88
AR_PM_PE_MT_20181025_Q09,2,1,97
AR_PM_PE_MT_20181025_Q10,4,1,95
AR_PM_PL_HT_20181026_Q01,28,70,2
AR_PM_PL_HT_20181026_Q02,24,75,1
AR_PM_PL_HT_20181026_Q03,9,90,1
AR_PM_PL_HT_20181026_Q04,14,84,2
AR_PM_PL_HT_20181026_Q05,14,84,2
AR_PM_PL_HT_20181026_Q06,24,73,3
AR_PM_PL_HT_20181026_Q07,22,77,1
AR_PM_PL_HT_20181026_Q08,42,57,1
AR_PM_PL_HT_20181026_Q09,27,73,0
AR_PM_PL_HT_20181026_Q10,20,79,1
AR_PM_PL_LT_20181026_Q01,100,0,0
AR_PM_PL_LT_20181026_Q02,94,3,3
AR_PM_PL_LT_20181026_Q03,99,0,1
AR_PM_PL_LT_20181026_Q04,98,1,1
AR_PM_PL_LT_20181026_Q05,98,1,1
AR_PM_PL_LT_20181026_Q06,98,1,1
AR_PM_PL_LT_20181026_Q07,99,0,1
AR_PM_PL_LT_20181026_Q08,97,1,2
AR_PM_PL_LT_20181026_Q09,98,1,1
AR_PM_PL_LT_20181026_Q10,97,2,1
AR_PM_PL_MT_20181026_Q01,18,1,81
AR_PM_PL_MT_20181026_Q02,17,1,82
AR_PM_PL_MT_20181026_Q03,27,3,70
AR_PM_PL_MT_20181026_Q04,21,4,75
AR_PM_PL_MT_20181026_Q05,7,3,90
AR_PM_PL_MT_20181026_Q06,10,4,86
AR_PM_PL_MT_20181026_Q07,11,1,88
