Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,0,0,0,0,1,0,0,0,86,0,0,0,0
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,0,0,0,2,2,0,0,0,23,0,0,0,0
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,0,0,0,0,0,0,0,0,32,0,0,0,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,0,0,0,0,0,0,0,0,18,0,0,0,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,0,0,0,0,0,0,0,0,14,0,0,0,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,0,0,0,0,10,0,0,0,28,0,0,0,0
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,0,0,0,0,15,0,0,0,55,0,0,0,0
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,0,0,0,0,0,0,0,0,81,0,0,0,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,0,0,0,0,0,0,0,0,82,0,0,0,0
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,0,0,0,0,0,0,0,0,78,0,0,0,0
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,0,0,0,3,90,0,0,0,2,0,0,0,0
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,0,0,0,6,88,0,0,0,1,0,0,0,0
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,0,0,0,5,82,0,0,0,5,0,0,0,0
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,0,0,0,7,83,0,0,0,3,0,0,0,0
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,0,0,0,2,84,0,0,0,5,0,0,0,0
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,0,0,0,4,87,0,0,0,2,0,0,1,0
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,0,0,0,7,89,0,0,0,2,0,0,0,0
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,0,0,0,5,94,0,0,0,1,0,0,0,0
AR_PM_PC_MT_20181105_Q09,visual,AR,PC,MT,0,0,0,4,86,0,0,0,6,0,0,0,0
AR_PM_PC_MT_20181105_Q10,visual,AR,PC,MT,0,0,0,7,87,0,0,0,1,0,0,0,0
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,0,0,0,0,0,0,0,2,30,0,0,43,0
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,0,0,0,0,0,0,0,8,71,0,0,5,0
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,0,0,0,0,0,0,0,0,62,0,0,22,0
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,0,0,0,0,0,0,0,18,59,0,0,21,0
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,0,0,0,0,0,0,0,7,54,0,0,6,0
AR_PM_PC_LT_20181105_Q06,visual,AR,PC,LT,0,0,0,0,0,0,0,5,62,0,0,10,0
AR_PM_PC_LT_20181105_Q07,visual,AR,PC,LT,0,0,0,0,0,0,0,4,57,0,0,16,0
AR_PM_PC_LT_20181105_Q08,visual,AR,PC,LT,0,0,0,0,0,0,0,0,63,0,0,23,0
AR_PM_PC_LT_20181105_Q09,visual,AR,PC,LT,0,0,0,0,0,0,0,2,48,0,0,18,0
AR_PM_PC_LT_20181105_Q10,visual,AR,PC,LT,0,0,0,0,0,0,0,8,58,0,0,10,0
AR_PM_PE_HT_20181025_Q02,visual,AR,PE,HT,0,0,0,11,1,0,0,0,84,0,0,0,0
AR_PM_PE_HT_20181025_Q03,visual,AR,PE,HT,0,0,0,4,0,0,0,0,89,0,0,0,0
AR_PM_PE_HT_20181025_Q01,visual,AR,PE,HT,0,0,0,2,0,0,0,0,92,0,0,0,0
AR_PM_PE_HT_20181025_Q04,visual,AR,PE,HT,0,0,0,3,0,0,0,0,93,0,0,0,0
