Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,34,0,0,0,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,53,0,0,0,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,56,0,0,0,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,69,0,0,0,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,67,0,0,0,0
AR_PM_PC_HT_20181105_Q06,human,AR,PC,HT,0,0,0,0,7,0,0,0,45,0,0,0,0,0,0,48,0,0,0,0
AR_PM_PC_HT_20181105_Q07,human,AR,PC,HT,0,0,0,0,14,0,0,0,42,0,0,0,0,0,0,42,0,0,0,2
AR_PM_PC_HT_20181105_Q08,human,AR,PC,HT,0,0,0,0,4,0,0,0,36,0,0,0,0,0,0,60,0,0,0,0
AR_PM_PC_HT_20181105_Q09,human,AR,PC,HT,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,60,0,0,0,0
AR_PM_PC_HT_20181105_Q10,human,AR,PC,HT,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,59,0,0,0,4
AR_PM_PC_LT_20181105_Q01,human,AR,PC,LT,0,0,0,0,0,0,0,2,34,0,0,18,0,0,0,22,0,0,0,24
AR_PM_PC_LT_20181105_Q02,human,AR,PC,LT,0,0,0,0,0,0,0,20,37,0,0,2,0,0,0,13,0,0,0,28
AR_PM_PC_LT_20181105_Q03,human,AR,PC,LT,0,0,0,0,0,0,0,1,27,0,0,33,0,0,0,14,0,0,0,25
AR_PM_PC_LT_20181105_Q04,human,AR,PC,LT,0,0,0,0,0,0,0,8,23,0,0,6,0,0,0,28,0,0,0,35
AR_PM_PC_LT_20181105_Q05,human,AR,PC,LT,0,0,0,0,0,0,0,7,18,0,0,3,0,0,0,7,0,0,0,65
AR_PM_PC_LT_20181105_Q06,human,AR,PC,LT,0,0,0,0,0,0,0,8,34,0,0,14,0,0,0,21,0,0,0,23
AR_PM_PC_LT_20181105_Q07,human,AR,PC,LT,0,0,0,0,0,0,0,9,42,0,0,22,0,0,0,4,0,0,0,23
AR_PM_PC_LT_20181105_Q08,human,AR,PC,LT,0,0,0,0,0,0,0,0,46,0,0,16,0,0,0,10,0,0,0,28
AR_PM_PC_LT_20181105_Q09,human,AR,PC,LT,0,0,0,0,0,0,0,2,20,0,0,14,0,0,0,18,0,0,0,46
AR_PM_PC_LT_20181105_Q10,human,AR,PC,LT,0,0,0,0,0,0,0,3,35,0,0,18,0,0,0,15,0,0,0,29
AR_PM_PC_MT_20181105_Q01,human,AR,PC,MT,0,0,0,3,89,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
AR_PM_PC_MT_20181105_Q02,human,AR,PC,MT,0,0,0,4,88,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
AR_PM_PC_MT_20181105_Q03,human,AR,PC,MT,0,0,0,3,82,0,0,0,8,0,0,0,0,0,5,0,0,0,0,2
AR_PM_PC_MT_20181105_Q04,human,AR,PC,MT,0,0,0,1,86,0,0,0,7,0,0,0,0,0,4,0,0,0,0,2
AR_PM_PC_MT_20181105_Q05,human,AR,PC,MT,0,0,0,0,78,0,0,0,11,0,0,0,0,0,3,0,0,0,0,8
AR_PM_PC_MT_20181105_Q06,human,AR,PC,MT,0,0,0,1,90,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
AR_PM_PC_MT_20181105_Q07,human,AR,PC,MT,0,0,0,4,88,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
AR_PM_PC_MT_20181105_Q08,human,AR,PC,MT,0,0,0,9,87,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1
AR_PM_PC_MT_20181105_Q09,human,AR,PC,MT,0,0,0,3,78,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10,human,AR,PC,MT,0,0,0,7,89,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AR_PM_PE_HT_20181025_Q01,human,AR,PE,HT,0,0,0,0,5,0,0,0,41,0,0,0,0,0,0,50,0,0,0,4
AR_PM_PE_HT_20181025_Q02,human,AR,PE,HT,0,0,0,12,0,0,0,0,76,0,0,1,0,0,2,9,0,0,0,0
AR_PM_PE_HT_20181025_Q03,human,AR,PE,HT,0,0,0,3,0,0,0,0,87,0,0,0,0,0,0,10,0,0,0,0
AR_PM_PE_HT_20181025_Q04,human,AR,PE,HT,0,0,0,5,0,0,0,0,86,0,0,0,0,0,0,8,0,0,0,1
AR_PM_PE_HT_20181025_Q05,human,AR,PE,HT,0,0,0,3,0,0,0,0,68,0,0,0,0,0,6,23,0,0,0,0
AR_PM_PE_HT_20181025_Q06,human,AR,PE,HT,0,0,0,7,0,0,0,0,86,0,0,0,0,0,5,2,0,0,0,0
AR_PM_PE_HT_20181025_Q07,human,AR,PE,HT,0,0,0,7,0,0,0,0,90,0,0,0,0,0,3,0,0,0,0,0
AR_PM_PE_HT_20181025_Q08,human,AR,PE,HT,0,0,0,1,0,0,0,0,44,0,0,0,0,0,5,50,0,0,0,0
AR_PM_PE_HT_20181025_Q09,human,AR,PE,HT,0,0,0,11,0,0,0,0,60,0,0,0,0,0,10,19,0,0,0,0
AR_PM_PE_HT_20181025_Q10,human,AR,PE,HT,0,0,0,0,0,0,0,0,69,0,0,0,0,0,1,30,0,0,0,0
AR_PM_PE_LT_20181025_Q01,human,AR,PE,LT,0,0,0,0,0,0,0,0,3,0,0,35,0,0,0,56,0,0,0,6
AR_PM_PE_LT_20181025_Q02,human,AR,PE,LT,0,0,0,0,0,0,0,0,2,0,0,26,0,0,0,32,0,0,0,40
AR_PM_PE_LT_20181025_Q03,human,AR,PE,LT,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,61,0,0,21,16
AR_PM_PE_LT_20181025_Q04,human,AR,PE,LT,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,55,0,0,24,14
AR_PM_PE_LT_20181025_Q05,human,AR,PE,LT,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,60,0,0,3,31
AR_PM_PE_LT_20181025_Q06,human,AR,PE,LT,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,53,0,0,0,29
AR_PM_PE_LT_20181025_Q07,human,AR,PE,LT,0,0,0,0,2,0,0,0,2,0,0,34,0,0,1,47,0,0,0,14
AR_PM_PE_LT_20181025_Q08,human,AR,PE,LT,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,57,0,0,0,36
AR_PM_PE_LT_20181025_Q09,human,AR,PE,LT,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,61,0,0,0,30
