Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PC_HT_20181105_Q01,robot,AR,PC,HT,0,0,0,0,0,0,0,0,76,0,0,0,0,0,24,0,0,0,0
AR_PM_PC_HT_20181105_Q02,robot,AR,PC,HT,0,0,0,1,0,0,0,0,58,0,0,0,0,0,41,0,0,0,0
AR_PM_PC_HT_20181105_Q03,robot,AR,PC,HT,0,0,0,0,0,0,0,0,51,0,0,0,0,0,49,0,0,0,0
AR_PM_PC_HT_20181105_Q04,robot,AR,PC,HT,0,0,0,0,0,0,0,0,32,0,0,0,0,0,68,0,0,0,0
AR_PM_PC_HT_20181105_Q05,robot,AR,PC,HT,0,0,0,0,0,0,0,0,29,0,0,0,0,0,71,0,0,0,0
AR_PM_PC_HT_20181105_Q06,robot,AR,PC,HT,0,0,0,0,3,0,0,0,70,0,0,0,0,0,26,0,0,0,1
AR_PM_PC_HT_20181105_Q07,robot,AR,PC,HT,0,0,0,1,6,0,0,0,62,0,0,0,0,2,29,0,0,0,0
AR_PM_PC_HT_20181105_Q08,robot,AR,PC,HT,0,0,0,0,2,0,0,0,68,0,0,0,0,0,29,0,0,0,1
AR_PM_PC_HT_20181105_Q09,robot,AR,PC,HT,0,0,0,0,0,0,0,0,49,0,0,0,0,0,51,0,0,0,0
AR_PM_PC_HT_20181105_Q10,robot,AR,PC,HT,0,0,0,0,1,0,0,0,61,0,0,0,0,1,37,0,0,0,0
AR_PM_PC_LT_20181105_Q01,robot,AR,PC,LT,0,0,0,0,0,0,0,2,53,0,10,0,0,1,17,0,0,0,17
AR_PM_PC_LT_20181105_Q02,robot,AR,PC,LT,0,0,0,0,1,0,0,15,47,0,3,0,0,0,7,0,0,0,27
AR_PM_PC_LT_20181105_Q03,robot,AR,PC,LT,0,0,0,0,2,0,0,0,36,0,27,0,0,0,14,0,0,0,21
AR_PM_PC_LT_20181105_Q04,robot,AR,PC,LT,0,0,0,0,0,0,0,5,39,0,4,0,0,0,17,0,0,0,35
AR_PM_PC_LT_20181105_Q05,robot,AR,PC,LT,0,0,0,0,0,0,0,6,23,0,3,0,0,0,7,0,0,0,61
AR_PM_PC_LT_20181105_Q06,robot,AR,PC,LT,0,0,0,0,1,0,0,4,49,0,10,0,0,0,16,0,0,0,20
AR_PM_PC_LT_20181105_Q07,robot,AR,PC,LT,0,0,0,0,1,0,0,4,52,0,17,0,0,0,3,0,0,0,23
AR_PM_PC_LT_20181105_Q08,robot,AR,PC,LT,0,0,0,0,0,0,0,0,55,0,12,0,0,0,7,0,0,0,26
AR_PM_PC_LT_20181105_Q09,robot,AR,PC,LT,0,0,0,0,0,0,0,0,38,0,9,0,0,0,16,0,0,1,36
AR_PM_PC_LT_20181105_Q10,robot,AR,PC,LT,0,0,0,0,1,0,0,1,53,0,13,0,0,0,10,0,0,0,22
AR_PM_PC_MT_20181105_Q01,robot,AR,PC,MT,0,0,0,2,89,0,0,0,7,0,0,0,0,2,0,0,0,0,0
AR_PM_PC_MT_20181105_Q02,robot,AR,PC,MT,0,0,0,5,88,0,0,0,4,0,0,0,0,3,0,0,0,0,0
AR_PM_PC_MT_20181105_Q03,robot,AR,PC,MT,0,0,0,3,78,0,0,0,12,0,0,0,0,5,0,0,0,0,2
AR_PM_PC_MT_20181105_Q04,robot,AR,PC,MT,0,0,0,1,79,0,0,0,13,0,0,0,0,5,1,0,0,0,1
AR_PM_PC_MT_20181105_Q05,robot,AR,PC,MT,0,0,0,0,77,0,0,0,13,0,0,0,0,1,0,0,0,0,9
AR_PM_PC_MT_20181105_Q06,robot,AR,PC,MT,0,0,0,0,92,0,0,0,5,0,0,0,0,3,0,0,0,0,0
AR_PM_PC_MT_20181105_Q07,robot,AR,PC,MT,0,0,0,4,87,0,0,0,6,0,0,0,0,2,0,0,0,0,1
AR_PM_PC_MT_20181105_Q08,robot,AR,PC,MT,0,0,0,8,88,0,0,0,3,0,0,0,0,0,0,0,0,0,1
AR_PM_PC_MT_20181105_Q09,robot,AR,PC,MT,0,0,0,1,80,0,0,0,17,0,0,0,0,2,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10,robot,AR,PC,MT,0,0,0,5,90,0,0,0,0,0,0,0,0,5,0,0,0,0,0
AR_PM_PE_HT_20181025_Q01,robot,AR,PE,HT,0,0,0,0,1,0,0,0,46,0,0,0,0,1,51,0,0,0,1
AR_PM_PE_HT_20181025_Q02,robot,AR,PE,HT,0,0,0,5,0,0,0,0,85,0,0,0,0,1,9,0,0,0,0
AR_PM_PE_HT_20181025_Q03,robot,AR,PE,HT,0,0,0,2,0,0,0,0,91,0,0,0,0,0,7,0,0,0,0
AR_PM_PE_HT_20181025_Q04,robot,AR,PE,HT,0,0,0,2,0,0,0,0,89,0,0,0,0,0,9,0,0,0,0
AR_PM_PE_HT_20181025_Q05,robot,AR,PE,HT,0,0,0,0,0,0,0,0,78,0,0,0,0,0,22,0,0,0,0
AR_PM_PE_HT_20181025_Q06,robot,AR,PE,HT,0,0,0,2,0,0,0,0,91,0,0,0,0,3,4,0,0,0,0
AR_PM_PE_HT_20181025_Q07,robot,AR,PE,HT,0,0,0,2,0,0,0,0,97,0,0,0,0,1,0,0,0,0,0
AR_PM_PE_HT_20181025_Q08,robot,AR,PE,HT,0,0,0,0,0,0,0,0,50,0,0,0,0,3,47,0,0,0,0
AR_PM_PE_HT_20181025_Q09,robot,AR,PE,HT,0,0,0,8,0,0,0,0,73,0,0,0,0,6,13,0,0,0,0
AR_PM_PE_HT_20181025_Q10,robot,AR,PE,HT,0,0,0,0,0,0,0,0,72,0,0,0,0,0,28,0,0,0,0
AR_PM_PE_LT_20181025_Q01,robot,AR,PE,LT,0,0,0,0,1,0,0,0,6,0,29,0,0,0,49,0,0,0,15
AR_PM_PE_LT_20181025_Q02,robot,AR,PE,LT,0,0,0,0,1,0,0,0,1,2,25,0,0,0,35,0,0,0,36
AR_PM_PE_LT_20181025_Q03,robot,AR,PE,LT,0,0,0,0,0,0,0,0,1,0,3,2,0,0,63,0,0,16,15
AR_PM_PE_LT_20181025_Q04,robot,AR,PE,LT,0,0,0,0,0,0,0,0,2,3,1,2,0,1,58,0,0,18,15
AR_PM_PE_LT_20181025_Q05,robot,AR,PE,LT,0,0,0,0,0,0,0,0,2,0,5,0,0,0,60,0,0,1,32
AR_PM_PE_LT_20181025_Q06,robot,AR,PE,LT,0,0,0,0,0,0,0,0,4,0,11,0,0,0,56,0,0,0,29
AR_PM_PE_LT_20181025_Q07,robot,AR,PE,LT,0,0,0,0,1,0,0,0,3,0,31,0,0,0,38,0,0,0,27
AR_PM_PE_LT_20181025_Q08,robot,AR,PE,LT,0,0,0,0,0,0,0,0,3,0,6,0,0,0,48,0,0,0,43
AR_PM_PE_LT_20181025_Q09,robot,AR,PE,LT,0,0,0,0,1,0,0,0,0,0,8,0,0,0,58,0,0,0,33
AR_PM_PE_LT_20181025_Q10,robot,AR,PE,LT,0,0,0,0,2,0,0,0,4,1,15,0,0,0,55,0,0,0,23
AR_PM_PE_MT_20181025_Q01,robot,AR,PE,MT,0,0,0,4,89,0,0,0,6,0,1,0,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q02,robot,AR,PE,MT,0,0,0,0,90,0,0,0,2,0,1,0,0,7,0,0,0,0,0
AR_PM_PE_MT_20181025_Q03,robot,AR,PE,MT,0,0,0,1,96,0,0,0,3,0,0,0,0,0,0,0,0,0,0
AR_PM_PE_MT_20181025_Q04,robot,AR,PE,MT,0,0,0,3,88,0,0,0,3,0,0,0,0,6,0,0,0,0,0
