Name,source,country,site,strata,Label,Cover
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,ALGAE,13
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,SUBSTRATE,86
AR_PM_PC_HT_20181105_Q01,visual,AR,PC,HT,INVERTEBRATES,1
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,ALGAE,73
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,SUBSTRATE,23
AR_PM_PC_HT_20181105_Q02,visual,AR,PC,HT,INVERTEBRATES,4
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,ALGAE,68
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,SUBSTRATE,32
AR_PM_PC_HT_20181105_Q03,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,ALGAE,82
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,SUBSTRATE,18
AR_PM_PC_HT_20181105_Q04,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,ALGAE,86
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,SUBSTRATE,14
AR_PM_PC_HT_20181105_Q05,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,ALGAE,62
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,SUBSTRATE,28
AR_PM_PC_HT_20181105_Q06,visual,AR,PC,HT,INVERTEBRATES,10
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,ALGAE,30
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,SUBSTRATE,55
AR_PM_PC_HT_20181105_Q07,visual,AR,PC,HT,INVERTEBRATES,15
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,ALGAE,19
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,SUBSTRATE,81
AR_PM_PC_HT_20181105_Q08,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,ALGAE,18
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,SUBSTRATE,82
AR_PM_PC_HT_20181105_Q09,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,ALGAE,22
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,SUBSTRATE,78
AR_PM_PC_HT_20181105_Q10,visual,AR,PC,HT,INVERTEBRATES,0
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,ALGAE,68
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,SUBSTRATE,30
AR_PM_PC_LT_20181105_Q01,visual,AR,PC,LT,INVERTEBRATES,2
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,ALGAE,21
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,SUBSTRATE,71
AR_PM_PC_LT_20181105_Q02,visual,AR,PC,LT,INVERTEBRATES,8
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,ALGAE,38
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,SUBSTRATE,62
AR_PM_PC_LT_20181105_Q03,visual,AR,PC,LT,INVERTEBRATES,0
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,ALGAE,23
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,SUBSTRATE,59
AR_PM_PC_LT_20181105_Q04,visual,AR,PC,LT,INVERTEBRATES,18
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,ALGAE,39
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,SUBSTRATE,54
AR_PM_PC_LT_20181105_Q05,visual,AR,PC,LT,INVERTEBRATES,7
AR_PM_PC_LT_20181105_Q06,visual,AR,PC,LT,ALGAE,33
AR_PM_PC_LT_20181105_Q06,visual,AR,PC,LT,SUBSTRATE,62
AR_PM_PC_LT_20181105_Q06,visual,AR,PC,LT,INVERTEBRATES,5
AR_PM_PC_LT_20181105_Q07,visual,AR,PC,LT,ALGAE,39
AR_PM_PC_LT_20181105_Q07,visual,AR,PC,LT,SUBSTRATE,57
AR_PM_PC_LT_20181105_Q07,visual,AR,PC,LT,INVERTEBRATES,4
AR_PM_PC_LT_20181105_Q08,visual,AR,PC,LT,ALGAE,37
AR_PM_PC_LT_20181105_Q08,visual,AR,PC,LT,SUBSTRATE,63
AR_PM_PC_LT_20181105_Q08,visual,AR,PC,LT,INVERTEBRATES,0
AR_PM_PC_LT_20181105_Q09,visual,AR,PC,LT,ALGAE,50
AR_PM_PC_LT_20181105_Q09,visual,AR,PC,LT,SUBSTRATE,48
AR_PM_PC_LT_20181105_Q09,visual,AR,PC,LT,INVERTEBRATES,2
AR_PM_PC_LT_20181105_Q10,visual,AR,PC,LT,ALGAE,34
AR_PM_PC_LT_20181105_Q10,visual,AR,PC,LT,SUBSTRATE,58
AR_PM_PC_LT_20181105_Q10,visual,AR,PC,LT,INVERTEBRATES,8
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,ALGAE,5
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,SUBSTRATE,2
AR_PM_PC_MT_20181105_Q01,visual,AR,PC,MT,INVERTEBRATES,93
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,ALGAE,5
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,SUBSTRATE,1
AR_PM_PC_MT_20181105_Q02,visual,AR,PC,MT,INVERTEBRATES,94
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,ALGAE,8
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,SUBSTRATE,5
AR_PM_PC_MT_20181105_Q03,visual,AR,PC,MT,INVERTEBRATES,87
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,ALGAE,7
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,SUBSTRATE,3
AR_PM_PC_MT_20181105_Q04,visual,AR,PC,MT,INVERTEBRATES,90
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,ALGAE,9
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,SUBSTRATE,5
AR_PM_PC_MT_20181105_Q05,visual,AR,PC,MT,INVERTEBRATES,86
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,ALGAE,7
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,SUBSTRATE,2
AR_PM_PC_MT_20181105_Q06,visual,AR,PC,MT,INVERTEBRATES,91
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,ALGAE,2
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,SUBSTRATE,2
AR_PM_PC_MT_20181105_Q07,visual,AR,PC,MT,INVERTEBRATES,96
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,ALGAE,0
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,SUBSTRATE,1
AR_PM_PC_MT_20181105_Q08,visual,AR,PC,MT,INVERTEBRATES,99
AR_PM_PC_MT_20181105_Q09,visual,AR,PC,MT,ALGAE,4
AR_PM_PC_MT_20181105_Q09,visual,AR,PC,MT,SUBSTRATE,6
