Name,source,country,site,strata,Label,Cover
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,SC,66
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAEF,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAEN,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAF,34
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAG,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MALA,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MALCB,0
AR_PM_PC_HT_20181105_Q01,human,AR,PC,HT,MAS,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,CRB,1
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,SC,46
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAEF,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAEN,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAF,53
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAG,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MALA,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MALCB,0
AR_PM_PC_HT_20181105_Q02,human,AR,PC,HT,MAS,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,SC,44
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAEF,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAEN,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAF,56
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAG,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MALA,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MALCB,0
AR_PM_PC_HT_20181105_Q03,human,AR,PC,HT,MAS,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,SP,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,WPOT,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,SC,31
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,Unc,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAA,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAEC,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAEF,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAEN,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAF,69
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAG,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MALA,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MALCB,0
AR_PM_PC_HT_20181105_Q04,human,AR,PC,HT,MAS,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,BRY,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,CNCA,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,CNTR,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,CRB,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,MOB,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,MOG,0
AR_PM_PC_HT_20181105_Q05,human,AR,PC,HT,SP,0
