Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
AR_PM_PC_HT_20181105_Q01.jpg,Confirmed,(Imported points; not specified),0,1,0,0,0,0,49,0,0,0,50,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02.jpg,Confirmed,(Imported points; not specified),0,2,2,0,0,0,30,0,1,0,65,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,35,0,0,0,65,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,21,0,0,0,79,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,25,0,0,0,75,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06.jpg,Confirmed,(Imported points; not specified),0,0,7,0,0,0,52,0,0,0,40,0,0,0,0,1
AR_PM_PC_HT_20181105_Q07.jpg,Confirmed,(Imported points; not specified),0,0,21,0,0,0,45,0,0,0,34,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08.jpg,Confirmed,(Imported points; not specified),0,0,4,0,0,0,58,0,0,0,36,0,0,0,0,2
AR_PM_PC_HT_20181105_Q09.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,47,0,0,0,53,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10.jpg,Confirmed,(Imported points; not specified),0,0,4,0,0,0,32,0,0,0,62,0,0,0,0,2
AR_PM_PC_LT_20181105_Q01.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,42,23,0,0,2,10,0,0,0,23
AR_PM_PC_LT_20181105_Q02.jpg,Confirmed,(Imported points; not specified),0,0,0,0,11,0,51,4,0,0,4,1,0,0,0,29
AR_PM_PC_LT_20181105_Q03.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,45,34,0,0,0,3,0,0,0,18
AR_PM_PC_LT_20181105_Q04.jpg,Confirmed,(Imported points; not specified),0,0,0,0,6,0,49,6,0,0,0,6,0,0,0,33
AR_PM_PC_LT_20181105_Q05.jpg,Confirmed,(Imported points; not specified),0,0,0,0,5,0,25,1,0,0,0,5,0,1,0,63
AR_PM_PC_LT_20181105_Q06.jpg,Confirmed,(Imported points; not specified),0,0,0,0,6,0,39,19,0,0,1,13,0,1,0,21
AR_PM_PC_LT_20181105_Q07.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,41,26,0,0,0,1,0,2,0,30
AR_PM_PC_LT_20181105_Q08.jpg,Confirmed,(Imported points; not specified),0,0,0,0,0,0,48,15,0,0,0,6,0,0,0,31
AR_PM_PC_LT_20181105_Q09.jpg,Confirmed,(Imported points; not specified),0,0,0,0,2,0,23,25,0,0,0,8,0,0,2,40
AR_PM_PC_LT_20181105_Q10.jpg,Confirmed,(Imported points; not specified),0,0,0,0,1,0,44,14,0,0,0,6,0,1,0,34
AR_PM_PC_MT_20181105_Q01.jpg,Confirmed,(Imported points; not specified),0,8,83,0,0,0,4,0,5,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q02.jpg,Confirmed,(Imported points; not specified),0,4,87,0,0,0,6,0,3,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q03.jpg,Confirmed,(Imported points; not specified),0,5,79,0,0,0,10,0,4,0,0,0,0,0,0,2
AR_PM_PC_MT_20181105_Q04.jpg,Confirmed,(Imported points; not specified),0,1,85,0,0,0,8,0,4,0,0,0,0,0,0,2
AR_PM_PC_MT_20181105_Q05.jpg,Confirmed,(Imported points; not specified),0,1,78,0,0,0,13,0,3,0,0,0,0,0,0,5
AR_PM_PC_MT_20181105_Q06.jpg,Confirmed,(Imported points; not specified),0,2,88,0,0,0,6,0,4,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q07.jpg,Confirmed,(Imported points; not specified),0,4,86,0,0,0,8,0,2,0,0,0,0,0,0,0
AR_PM_PC_MT_20181105_Q08.jpg,Confirmed,(Imported points; not specified),0,6,90,0,0,0,3,0,0,0,0,0,0,0,0,1
AR_PM_PC_MT_20181105_Q09.jpg,Confirmed,(Imported points; not specified),0,1,81,0,0,0,15,0,2,0,1,0,0,0,0,0
AR_PM_PC_MT_20181105_Q10.jpg,Confirmed,(Imported points; not specified),0,6,88,0,0,0,0,0,6,0,0,0,0,0,0,0
AR_PM_PE_HT_20181025_Q01.jpg,Confirmed,(Imported points; not specified),0,9,0,0,0,0,68,0,6,0,17,0,0,0,0,0
AR_PM_PE_HT_20181025_Q02.jpg,Confirmed,(Imported points; not specified),0,2,5,0,0,0,33,0,0,0,60,0,0,0,0,0
AR_PM_PE_HT_20181025_Q03.jpg,Confirmed,(Imported points; not specified),0,13,0,0,0,0,79,0,0,0,8,0,0,0,0,0
