Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW40,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8728
AR_PM_PC_HT_20181105_Q02.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW41,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8729
AR_PM_PC_HT_20181105_Q03.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW42,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8730
AR_PM_PC_HT_20181105_Q04.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW43,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8731
AR_PM_PC_HT_20181105_Q05.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW44,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8732
AR_PM_PC_HT_20181105_Q06.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW45,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8733
AR_PM_PC_HT_20181105_Q07.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW46,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8735
AR_PM_PC_HT_20181105_Q08.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW47,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8736
AR_PM_PC_HT_20181105_Q09.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW48,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8737
AR_PM_PC_HT_20181105_Q10.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW49,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8738
