Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
AR_PM_PC_HT_20181105_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,78.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,65.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,80.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,18.000,0.000,0.000,0.000,82.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,8.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q08.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000,3.000
AR_PM_PC_HT_20181105_Q09.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,62.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_HT_20181105_Q10.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,39.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,1.000
AR_PM_PC_LT_20181105_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,42.000,24.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,20.000
AR_PM_PC_LT_20181105_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,10.000,0.000,42.000,4.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,37.000
AR_PM_PC_LT_20181105_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,32.000,40.000,0.000,0.000,1.000,7.000,0.000,0.000,0.000,20.000
AR_PM_PC_LT_20181105_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,4.000,0.000,41.000,10.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,35.000
AR_PM_PC_LT_20181105_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,19.000,5.000,0.000,0.000,1.000,10.000,0.000,0.000,0.000,65.000
AR_PM_PC_LT_20181105_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,1.000,0.000,43.000,22.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,21.000
AR_PM_PC_LT_20181105_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,3.000,0.000,41.000,31.000,0.000,0.000,1.000,2.000,0.000,0.000,0.000,22.000
AR_PM_PC_LT_20181105_Q08.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,51.000,19.000,0.000,0.000,3.000,4.000,0.000,0.000,0.000,23.000
AR_PM_PC_LT_20181105_Q09.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,24.000,17.000,0.000,0.000,2.000,11.000,0.000,0.000,0.000,46.000
AR_PM_PC_LT_20181105_Q10.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,43.000,19.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,29.000
AR_PM_PC_MT_20181105_Q01.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,92.000,0.000,0.000,0.000,5.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
AR_PM_PC_MT_20181105_Q02.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,4.000,89.000,0.000,0.000,0.000,4.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_MT_20181105_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,80.000,0.000,0.000,0.000,12.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
AR_PM_PC_MT_20181105_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,82.000,0.000,0.000,0.000,11.000,1.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
AR_PM_PC_MT_20181105_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,80.000,0.000,0.000,0.000,12.000,0.000,2.000,0.000,0.000,1.000,0.000,0.000,0.000,5.000
AR_PM_PC_MT_20181105_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,95.000,0.000,0.000,0.000,2.000,1.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PC_MT_20181105_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,92.000,0.000,0.000,0.000,5.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
