Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation.status,Annotation.area,CNTR.A,CRB.A,MOB.A,SP.A,WPOT.A,SU.A,SC.A,MAA.A,MAEN.A,MAENRC.A,MAFG.A,MAFR.A,MAG.A,MALCB.A,MASB.A,MASG.A,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PC_HT_20181105_Q01.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW40,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8728,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,86.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q02.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW41,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8729,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,23.00,73.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q03.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW42,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8730,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q04.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW43,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8731,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q05.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW44,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8732,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q06.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW45,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8733,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,4.00,0.00,0.00,0.00,56.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,28.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q07.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW46,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8735,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,8.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,55.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q08.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW47,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8736,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,1.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,81.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
AR_PM_PC_HT_20181105_Q09.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW48,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8737,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PC_HT_20181105_Q10.jpg,05/11/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,COOLPIX AW49,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8738,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,1.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
