Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
CO_GI_LM_HT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q02.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q03.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q04.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q05.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q06.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q07.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q08.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q09.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_HT_20181014_Q10.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q02.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q03.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q04.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q05.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q06.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q07.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q08.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q09.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_LT_20181014_Q10.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,LOWTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q01.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q02.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q03.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q04.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q05.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q06.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q07.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q08.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q09.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
CO_GI_LM_MT_20181014_Q10.jpg,2018-10-14,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,MIDTIDE,,,,,CANON G16,Edgardo,Manual,2018,50 x 50,,
