"","Name","Annotation.status","Annotation.area","A","BRY","CNCA","CNTR","CR","CRB","ESS","ESU","MOB","MOCH","MOG","SP","WPOT","SU","SC","LICHEN","SHAD","Unc","MAA","MAEC","MAEF","MAEN","MAENR","MAF","MAG","MALA","MALCB","MAS"
"1","USMAMH201807_138_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,1,0,85,0,2,0,0,0,0,0,0
"2","USMAMH201807_139_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,12,0,0,84,0,0,0,0,0,0,0,0
"3","USMAMH201807_419_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,9,0,0,4,0,0,0,0,0,11,0,7,1,0,66,0,2,0,0,0,0,0,0
"4","USMAMH201807_445_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,6,0,0,0,0,0,0,0,0,80,0,0,0,0,12,0,2,0,0,0,0,0,0
"5","USMAMH201807_503_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,85,0,7,0,0,0,0,0,0
"6","USMAMH201807_518_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,95,0,0,0,0,0,0,0,0
"7","USMAMH201807_552_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,4,3,0,73,0,4,0,0,0,0,0,0
"8","USMAMH201807_592_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,0,85,0,7,0,0,0,2,0,0
"9","USMAMH201807_593_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,1,1,0,41,0,44,0,0,0,0,0,0
"10","USMAMH201807_594_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,28,0,0,3,0,1,0,0,0,5,0,6,2,0,46,0,9,0,0,0,0,0,0
"11","USMAMH201807_595_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,5,0,0,0,0,0,0,0,0,22,0,8,2,0,61,0,2,0,0,0,0,0,0
"12","USMAMH201807_596_low_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,22,0,0,0,0,0,0,0,0,49,0,1,6,0,15,0,7,0,0,0,0,0,0
"13","USMAMH201807_598_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,78,0,2,0,5,0,0,0,0
"14","USMAMH201807_599_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,1,0,76,0,0,0,5,0,0,0,0
"15","USMAMH201807_600_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,2,0,13,0,0,0,0,1,0,0,0,68,0,3,0,0,12,0,1,0,0,0,0,0,0
"16","USMAMH201905_139_low_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,7,0,0,3,0,2,0,0,0,8,0,1,1,0,76,0,2,0,0,0,0,0,0
"17","USMAMH201905_442_high_(2).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,2,0,0,0,0,1,0,0,0,95,0,0,0,0,2,0,0,0,0,0,0,0,0
"18","USMAMH201905_445_high_(3).JPG","Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,0,0,10,0,0,0,0,0,0,0,0,74,0,3,0,0,13,0,0,0,0,0,0,0,0
