Image ID,Image name,Annotation status,Points,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
1909922,AR_PM_PC_HT_20181105_Q01_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,0.000,0.000
1909921,AR_PM_PC_HT_20181105_Q02_human.jpg,Confirmed,100,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,0.000,53.000,0.000,0.000,0.000,0.000
1909918,AR_PM_PC_HT_20181105_Q03_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000
1909917,AR_PM_PC_HT_20181105_Q04_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,31.000,0.000,0.000,0.000,0.000,0.000,69.000,0.000,0.000,0.000,0.000
1909915,AR_PM_PC_HT_20181105_Q05_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,0.000,0.000,0.000,67.000,0.000,0.000,0.000,0.000
1909914,AR_PM_PC_HT_20181105_Q06_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000
1909913,AR_PM_PC_HT_20181105_Q07_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,2.000
1909912,AR_PM_PC_HT_20181105_Q08_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,36.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000
1909911,AR_PM_PC_HT_20181105_Q09_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,0.000,0.000,60.000,0.000,0.000,0.000,0.000
1909910,AR_PM_PC_HT_20181105_Q10_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,4.000
1909946,AR_PM_PC_LT_20181105_Q01_human.jpg,Confirmed,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,34.000,0.000,18.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,24.000
