Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
AR_PM_PC_HT_20181105_Q01_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q01_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q01_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q02_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q02_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q02.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q02_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q03_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q03_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q03.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q03_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q04_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q04_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q04.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q04_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q05_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q05_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q05.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q05_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q06_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q06_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q06.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q06_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q07_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q07_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q07.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
AR_PM_PC_HT_20181105_Q07_Random.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human.random
AR_PM_PC_HT_20181105_Q08_50alleviate.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Alleviate
AR_PM_PC_HT_20181105_Q08_human.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Human
AR_PM_PC_HT_20181105_Q08.jpg,2018-11-05,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,60,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,NO,50 x 50,NO,Robot
