Name1,Name2,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMAMH201807_138_low_(2)_human.JPG,USMAMH201807_138_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,7,0,0,87,0,1,0,0,0,0,0,0
USMAMH201807_138_low_(3)_human.JPG,USMAMH201807_138_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,74,0,8,0,0,0,0,0,0
USMAMH201807_139_low_(2)_human.JPG,USMAMH201807_139_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,3,0,0,87,0,3,0,0,0,0,0,0
USMAMH201807_139_low_(3)_human.JPG,USMAMH201807_139_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,91,1,2,0,0,0,0,0,0
USMAMH201807_419_low_(2)_human.JPG,USMAMH201807_419_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,8,0,0,1,0,0,0,0,0,11,0,2,0,0,76,0,2,0,0,0,0,0,0
USMAMH201807_433_low_(3)_human.JPG,USMAMH201807_433_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,20,0,0,0,0,0,0,0,0,56,0,1,0,0,23,0,0,0,0,0,0,0,0
USMAMH201807_438_low_(2)_human.JPG,USMAMH201807_438_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,92,0,0,0,0,0,0,0,0
USMAMH201807_442_high_(3)_human.JPG,USMAMH201807_442_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,2,0,0,0,0,0,0,0,0,88,0,0,0,0,2,0,8,0,0,0,0,0,0
USMAMH201807_445_high_(3)_human.JPG,USMAMH201807_445_high_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,8,0,0,0,0,1,0,0,0,80,0,0,0,0,11,0,0,0,0,0,0,0,0
USMAMH201807_466_high_(2)_human.JPG,USMAMH201807_466_high_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,1,0,0,7,0,0,0,0,0,4,0,2,0,0,73,10,3,0,0,0,0,0,0
