Name,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMAMH201807_138_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.000,1.000,0.000,85.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_138_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,98.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_138_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,2.000,0.000,76.000,0.000,7.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_138_low_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,79.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_139_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,12.000,0.000,0.000,84.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_139_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,6.000,0.000,0.000,85.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_139_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,18.000,3.000,0.000,76.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_139_low_(3)_robot.JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,5.000,0.000,0.000,85.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_419_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,7.000,1.000,0.000,66.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000
USMAMH201807_419_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,9.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,1.000,0.000,0.000,79.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
