"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Row","Column","Label","Annotator","Date.annotated","Machine.suggestion.1","Machine.confidence.1","Machine.suggestion.2","Machine.confidence.2","Machine.suggestion.3","Machine.confidence.3","Machine.suggestion.4","Machine.confidence.4","Machine.suggestion.5","Machine.confidence.5"
"1","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1113,626,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"2","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,894,939,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"3","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,952,647,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"4","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1135,1136,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"5","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,110,893,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"6","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1399,217,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"7","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,942,268,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"8","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,94,789,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"9","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,221,496,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"10","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,608,235,"CRB","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"11","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,179,551,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"12","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,183,547,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"13","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1017,1733,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"14","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,283,774,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"15","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,882,938,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"16","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1704,721,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"17","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1030,629,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"18","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,589,1902,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"19","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1486,323,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"20","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1163,730,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"21","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,94,968,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"22","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,307,613,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"23","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1737,1522,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"24","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1296,1833,"SHAD","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"25","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1263,957,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"26","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,962,263,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"27","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1608,1292,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"28","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1910,1581,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"29","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1200,1682,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"30","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,727,1387,"CRB","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"31","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,857,1902,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"32","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,886,1681,"CRB","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"33","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1622,991,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"34","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,308,75,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"35","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,802,1684,"CRB","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"36","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,1578,1678,"MAEC","helmuthlab","2020-07-16 18:23:42+00:00","",NA,"",NA,"",NA,"",NA,"",NA
"37","USMAMH201807_138_low_(2).JPG","2018-07-17","Rocky shore","USA","MASSACHUSETTS","NORTHSHORE","LOWTIDE",25,42.507496,-70.84332,NA,"NIKON D5100","Helmuth","Robot",9,"25 X 25",NA,NA,106,1484,"MAEC","helmuthlab","2020-07-16 18:23:41+00:00","",NA,"",NA,"",NA,"",NA,"",NA
