Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
USMAMH201807_138_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_138_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_139_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_139_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_419_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_419_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_445_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_445_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_503_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_503_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_518_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_518_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_552_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_552_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_592_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_592_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_593_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_593_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_594_low_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_594_low_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_595_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_595_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
USMAMH201807_596_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,Intertidal,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,random
USMAMH201807_596_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,MIDTIDE,25,42.507496,-70.84332,INTERTIDAL,NIKON D5100,Helmuth,INTERTIDAL,No,25 X 25,,robot
