Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
USMAMH201807_138_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_138_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_138_low_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_138_low_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_139_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_139_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_139_low_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_139_low_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_419_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_419_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_433_low_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_433_low_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_438_low_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_438_low_(2)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_442_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_442_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_445_high_(3).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_445_high_(3)_robot.JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
USMAMH201807_466_high_(2).JPG,2018-07-17,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,25,42.507496,-70.84332,,NIKON D5100,Helmuth,Robot,9,25 X 25,,
