Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB
AR_PM_PC_HT_20181105_Q01.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,86,13,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,2,0,0,23,73,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,32,68,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,18,82,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,14,86,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,10,0,0,28,62,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,15,0,0,55,30,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,81,17,0,0,0,2,0
AR_PM_PC_HT_20181105_Q09.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,82,18,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,HIGHTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,78,22,0,0,0,0,0
AR_PM_PC_MT_20181105_Q01.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,3,90,0,0,2,2,3,0,0,0,0
AR_PM_PC_MT_20181105_Q02.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,6,88,0,0,1,2,3,0,0,0,0
AR_PM_PC_MT_20181105_Q03.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,5,82,0,0,5,2,4,0,0,2,0
AR_PM_PC_MT_20181105_Q04.jpg,05/11/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA CUEVAS,MIDTIDE,60,-42.812067,-64.891925,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,7,83,0,0,3,1,5,0,0,1,0
