Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Camera,Depth,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,MAEN,MAA,MAF,MAG,MOG,WPOT,CRB,SC
CO_GI_LM_HT_20181014_Q01.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q02.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q03.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,0,98
CO_GI_LM_HT_20181014_Q04.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,4,0,0,96
CO_GI_LM_HT_20181014_Q05.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q06.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q07.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q08.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_LM_HT_20181014_Q09.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,0,98
CO_GI_LM_HT_20181014_Q10.jpg,14/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA MANCORA,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,0,0,99
