Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Camera,Depth,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,SC,MAS,CRB,CNTR,MAF,CNCA,MAEN,WPOT
EC_SX_CD_HT_20190327_Q01.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q02.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q03.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q04.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q05.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q06.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q07.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,100,0,0,0,0,0,0,0
EC_SX_CD_HT_20190327_Q08.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,98,1,0,0,1,0,0,0
EC_SX_CD_HT_20190327_Q09.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,92,0,0,0,8,0,0,0
EC_SX_CD_HT_20190327_Q10.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,93,0,0,0,7,0,0,0
EC_SX_CD_LT_20190327_Q01.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,89,0,0,0,0,3,8,0
EC_SX_CD_LT_20190327_Q02.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,89,0,0,0,0,0,11,0
EC_SX_CD_LT_20190327_Q03.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,95,0,0,0,0,0,5,0
EC_SX_CD_LT_20190327_Q04.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,97,0,0,0,0,0,3,0
EC_SX_CD_LT_20190327_Q05.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,86,0,0,0,0,0,14,0
EC_SX_CD_LT_20190327_Q06.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,91,0,0,0,0,6,3,0
EC_SX_CD_LT_20190327_Q07.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,76,0,0,0,0,0,24,0
EC_SX_CD_LT_20190327_Q08.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,47,0,0,0,0,0,53,0
EC_SX_CD_LT_20190327_Q09.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,63,0,0,0,0,0,27,9
EC_SX_CD_LT_20190327_Q10.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,LOWTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,79,7,0,0,0,0,14,0
EC_SX_CD_MT_20190327_Q01.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,MIDTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,94,0,0,0,6,0,0,0
EC_SX_CD_MT_20190327_Q02.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,MIDTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,99,0,0,0,1,0,0,0
EC_SX_CD_MT_20190327_Q03.jpg,27/03/2019,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,MIDTIDE,,,,CANON S120,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,98,0,0,0,2,0,0,0
