Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,BRY,CR,CRB,MOG,MAEC,MAEF,MAEN,MAF,MALA,MOB
Marblehead_1_707,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,6,22,61,0,0,0,11,0
Marblehead_2_1390,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,14,10,73,0,0,3,0,0
Marblehead_3_1600,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,30,7,15,0,40,2,0,6
Marblehead_4_1919,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,8,30,50,0,8,1,0,3
Marblehead_5_2446,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,20,22,35,0,20,0,0,3
Marblehead_1_707,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,16,3,34,0,45,0,0,2
Marblehead_2_1690,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,23,3,35,0,31,0,8,0
Marblehead_3_1751,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,20,7,14,0,42,0,13,4
Marblehead_4_1919,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,18,9,29,0,37,0,7,0
Marblehead_5_2446,7/17/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,21,5,61,0,13,0,0,0
Marblehead_1_315,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,4,61,0,0,0,0,0,35
Marblehead_2_730,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,2,69,0,0,11,0,0,18
Marblehead_3_1330,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,1,47,38,0,12,1,0,1
Marblehead_4_1830,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,6,48,10,0,21,0,0,15
Marblehead_5_2290,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,14,12,49,0,16,6,0,2
Marblehead_1_313,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,19,4,27,0,40,0,0,10
Marblehead_2_540,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,6,13,49,0,16,0,0,16
Marblehead_3_1073,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,6,54,34,0,4,2,0,0
Marblehead_5_2240,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,7,10,47,0,36,0,0,0
Marblehead_4_,5/21/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.507496,-70.84332,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,12,20,38,0,27,0,0,3
Pumphouse_1_68,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,54,7,37,0,0,0,2,0
Pumphouse_2_490,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,47,15,33,0,4,0,0,1
Pumphouse_3_899,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,27,11,37,0,14,0,0,11
Pumphouse_4_1355,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,53,18,29,0,0,0,0,0
Pumphouse_5_2223,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,27,9,46,0,5,0,2,11
Pumphouse_1_8,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,35,21,31,0,3,0,0,10
Pumphouse_2_389,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,17,71,8,0,0,2,0,2
Pumphouse_3_1088,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,17,9,61,0,2,0,0,11
Pumphouse_4_1758,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,30,10,50,0,0,1,0,9
Pumphouse_5_2450,7/16/2018,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,LOWTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,23,26,34,0,0,6,0,11
Pumphouse_5_410,5/18/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,65,19,11,0,4,0,0,1
Pumphouse_4_1295,5/18/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,22,26,44,0,5,0,0,3
Pumphouse_3_2360,5/18/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,44,45,10,0,0,0,0,1
Pumphouse_2_2490,5/18/2019,Rocky shore,USA,MASSACHUSETTS,NORTHSHORE,HIGHTIDE,50,42.417115,-70.906804,0,NIKON D5100,Helmuth,INTERTIDAL,9,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,42,33,24,0,0,0,0,1
