Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,144,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,433,CIRRIPEDIO,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,722,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,1010,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,1299,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,1588,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,1876,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,2165,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,2454,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,146,2743,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,144,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,433,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,722,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,1010,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,1299,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,1588,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,1876,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,2165,aBareRock,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,2454,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
AR_PM_PC_HT_20181105_Q01.jpg,2018-11-05,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,,,50 x 50,,DSCN8728,439,2743,ENTEROMORP,gonzalopatagonia,2020-04-08 21:04:33+00:00,,,,,,,,,,
