Substrate: Consolidated (hard) (SC),2128,8,3,101,27,21,1,2,3,1,3,0,0
Macroalgae: Erect coarse br... (MAEC),12,511,2,0,0,13,1,0,0,3,0,0,0
Molluscs: Bivalves (MOB),2,0,371,0,0,1,0,0,0,0,0,0,0
Macroalgae: Encrusting (MAEN),144,11,1,171,7,6,0,0,1,0,0,0,0
Macroalgae: Filamentous / f... (MAF),42,2,1,6,238,0,3,1,0,0,3,0,0
Crustacea: Barnacles (CRB),22,18,4,5,0,205,0,0,0,0,0,0,0
Macroalgae: Sheet-like / me... (MAS),7,4,0,0,8,2,117,1,0,0,0,0,0
Macroalgae: Articulated cal... (MAA),3,0,2,0,5,1,4,38,0,0,0,0,0
Molluscs: Gastropods (MOG),6,3,1,0,0,4,0,0,5,0,0,0,0
Unclear (Unc),12,0,0,0,0,0,0,0,0,5,0,0,0
Worms: Polychaetes: Tube worms (WPOT),1,0,0,1,0,0,0,0,0,0,8,0,0
Macroalgae: Laminate (MALA),1,1,0,1,0,0,0,0,0,0,0,1,0
Macroalgae: Large canopy-fo... (MALCB),0,0,0,0,0,1,0,0,0,0,0,0,2
