Substrate: Consolidated (hard) (SC),2145,4,3,84,26,16,2,2,8,4,4,0,0
Macroalgae: Erect coarse br... (MAEC),7,473,2,3,0,28,1,0,15,0,0,0,0
Molluscs: Bivalves (MOB),2,0,369,0,0,1,1,0,0,0,0,0,0
Macroalgae: Encrusting (MAEN),178,8,1,143,3,4,1,0,2,0,0,1,0
Macroalgae: Filamentous / f... (MAF),49,1,1,0,238,2,2,1,0,0,2,0,0
Crustacea: Barnacles (CRB),19,13,6,6,1,206,0,0,1,1,0,1,0
Macroalgae: Sheet-like / me... (MAS),4,3,0,2,7,1,121,1,0,0,0,0,0
Macroalgae: Articulated cal... (MAA),3,0,1,0,5,1,5,38,0,0,0,0,0
Unclear (Unc),12,9,1,1,0,0,0,0,8,0,0,0,0
Molluscs: Gastropods (MOG),6,0,2,0,0,6,0,0,1,4,0,0,0
Worms: Polychaetes: Tube worms (WPOT),2,0,0,0,0,0,1,0,0,0,7,0,0
Macroalgae: Laminate (MALA),1,0,1,0,0,0,0,0,0,0,0,2,0
Macroalgae: Large canopy-fo... (MALCB),0,0,0,0,0,1,0,0,0,0,0,0,2
