Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments
AR_PM_PC_HT_20181105_Q01_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8728
AR_PM_PC_HT_20181105_Q01_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8728
AR_PM_PC_HT_20181105_Q01_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q01.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8728
AR_PM_PC_HT_20181105_Q02_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8729
AR_PM_PC_HT_20181105_Q02_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8729
AR_PM_PC_HT_20181105_Q02_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q02.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8729
AR_PM_PC_HT_20181105_Q03_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8730
AR_PM_PC_HT_20181105_Q03_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8730
AR_PM_PC_HT_20181105_Q03_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q03.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8730
AR_PM_PC_HT_20181105_Q04_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8731
AR_PM_PC_HT_20181105_Q04_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8731
AR_PM_PC_HT_20181105_Q04_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q04.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8731
AR_PM_PC_HT_20181105_Q05_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8732
AR_PM_PC_HT_20181105_Q05_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8732
AR_PM_PC_HT_20181105_Q05_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q05.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8732
AR_PM_PC_HT_20181105_Q06_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8733
AR_PM_PC_HT_20181105_Q06_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8733
AR_PM_PC_HT_20181105_Q06_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q06.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8733
AR_PM_PC_HT_20181105_Q07_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8735
AR_PM_PC_HT_20181105_Q07_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8735
AR_PM_PC_HT_20181105_Q07_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q07.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8735
AR_PM_PC_HT_20181105_Q08_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8736
AR_PM_PC_HT_20181105_Q08_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8736
AR_PM_PC_HT_20181105_Q08_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q08.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8736
AR_PM_PC_HT_20181105_Q09_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8737
AR_PM_PC_HT_20181105_Q09_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8737
AR_PM_PC_HT_20181105_Q09_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q09.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8737
AR_PM_PC_HT_20181105_Q10_60.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 60%,2018,50 x 50,,DSCN8738
AR_PM_PC_HT_20181105_Q10_80.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Alleviate 80%,2018,50 x 50,,DSCN8738
AR_PM_PC_HT_20181105_Q10_Auto.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Auto,2018,50 x 50,,
AR_PM_PC_HT_20181105_Q10.jpg,05/11/2018,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,,-42.78511,-64.95264,,NIKON COOLPIX AW130,Bigatti,Manual,2018,50 x 50,,DSCN8738
